text,value
KAPLAN   311,KAPLAN  |  00311  
KAPLAN   318,KAPLAN  |  00318  
KAPLAN   348,KAPLAN  |  00348  
KAPLAN   365,KAPLAN  |  00365  
KAPLAN   367,KAPLAN  |  00367  
KAPLAN   372,KAPLAN  |  00372  
KAPLAN   A6,KAPLAN  | A00006  
KAPLAN   A26,KAPLAN  | A00026  
KAPLAN   A30,KAPLAN  | A00030  
KAPLAN   A32,KAPLAN  | A00032  
KAPLAN   A40,KAPLAN  | A00040  
KAPLAN   A46,KAPLAN  | A00046  
KAPLAN   A48,KAPLAN  | A00048  
KAPLAN   A51,KAPLAN  | A00051  
KAPLAN   A56,KAPLAN  | A00056  
KAPLAN   A60,KAPLAN  | A00060  
KAPLAN   A65,KAPLAN  | A00065  
KAPLAN   A66,KAPLAN  | A00066  
KAPLAN   A68,KAPLAN  | A00068  
KAUFMAN  101,KAUFMAN |  00101  
KAUFMAN  136,KAUFMAN |  00136  
KAUFMAN  145,KAUFMAN |  00145  
KAUFMAN  153,KAUFMAN |  00153  
KAUFMAN  160,KAUFMAN |  00160  
KAUFMAN  180,KAUFMAN |  00180  
KAUFMAN  200,KAUFMAN |  00200  
KAUFMAN  208,KAUFMAN |  00208  
KAUFMAN  214,KAUFMAN |  00214  
KAUFMAN  230,KAUFMAN |  00230  
KAUFMAN  240,KAUFMAN |  00240  
KAUFMAN  250,KAUFMAN |  00250  
KAUFMAN  1000,KAUFMAN |  01000  
KNSY PV  1200B,KNSY PV |  01200B 
KNSY PV  1220B,KNSY PV |  01220B 
KNSY PV  1240B,KNSY PV |  01240B 
KNUDSEN  1116,KNUDSEN |  01116  
KNUDSEN  1134,KNUDSEN |  01134  
KNUDSEN  1152,KNUDSEN |  01152  
KNUDSEN  1210,KNUDSEN |  01210  
KNUDSEN  1238,KNUDSEN |  01238  
KNUDSEN  2115,KNUDSEN |  02115  
KNUDSEN  2122,KNUDSEN |  02122  
KNUDSEN  2136,KNUDSEN |  02136  
KNUDSEN  3145L,KNUDSEN |  03145L 
KNUDSEN  3171,KNUDSEN |  03171  
KNUDSEN  4134,KNUDSEN |  04134  
KNUDSEN  4173,KNUDSEN |  04173  
KNUDSEN  6107,KNUDSEN |  06107  
KNUDSEN  6129,KNUDSEN |  06129  
KNUDSEN  A137,KNUDSEN | A00137  
KORN     C314,KORN    | C00314  
LAKRETZ  100,LAKRETZ |  00100  
LAKRETZ  101,LAKRETZ |  00101  
LAKRETZ  110,LAKRETZ |  00110  
LAKRETZ  120,LAKRETZ |  00120  
LAKRETZ  300A,LAKRETZ |  00300A 
LAW      1102,LAW     |  01102  
LAW      1310,LAW     |  01310  
LAW      1314,LAW     |  01314  
LAW      1327,LAW     |  01327  
LAW      1337,LAW     |  01337  
LAW      1347,LAW     |  01347  
LAW      1357,LAW     |  01357  
LAW      1420,LAW     |  01420  
LAW      1430,LAW     |  01430  
LAW      1447,LAW     |  01447  
LAW      1457,LAW     |  01457  
LAW      2326,LAW     |  02326  
LAW      2357,LAW     |  02357  
LAW      2442,LAW     |  02442  
LAW      2448,LAW     |  02448  
LAW      2467,LAW     |  02467  
LAW      2473,LAW     |  02473  
LAW      2476,LAW     |  02476  
LAW      2477,LAW     |  02477  
LAW      2483,LAW     |  02483  
LAW      2484,LAW     |  02484  
LAW      3211A,LAW     |  03211A 
LAW      3393,LAW     |  03393  
LAW      3467,LAW     |  03467  
LAW      3473,LAW     |  03473  
LAW      3483,LAW     |  03483  
LAW      3484,LAW     |  03484  
LAW      A122,LAW     | A00122  
LKGP     100,LKGP    |  00100  
LKGP     101,LKGP    |  00101  
LS       1113,LS      |  01113  
LS       1123,LS      |  01123  
LS       1230,LS      |  01230  
LS       1315,LS      |  01315  
LS       1362,LS      |  01362  
LS       2127,LS      |  02127  
LS       2226,LS      |  02226  
LS       2306,LS      |  02306  
LS       2320,LS      |  02320  
LS       2325,LS      |  02325  
LS       2335,LS      |  02335  
LS       2365,LS      |  02365  
LS       2822,LS      |  02822  
LS       3314,LS      |  03314  
LS       3324,LS      |  03324  
LS       3326,LS      |  03326  
LS       4127,LS      |  04127  
LS       5236,LS      |  05236  
LS       5309,LS      |  05309  
LS       5312,LS      |  05312  
LS       5323,LS      |  05323  
