title,start,end,lecture,enrollment,enroll_total,enroll_capacity,mult_list_flag,multi_header,multi_list_classes,meet_bdg,meet_rm,Subj_Area,Days_in_week,strt_time,stop_time,fac_capacity,start_date
COM SCI M151B   ,2014-11-12T10:00:00,2014-11-12T11:50:00,LEC 1,Enr: 62 of 80,62,80,y,Multiple-Listed Class,"['Computer Science (COM SCI) M151B - Computer Systems Architecture', 'Electrical and Computer Engineering (EC ENGR) M116C - Computer Systems Architecture']",BOELTER ,  02444  ,COM SCI,MW     ,10:00:00,11:50:00,80,1/3/2018 12:00:00 AM
EC ENGR 233     ,2014-11-14T10:00:00,2014-11-14T10:50:00,DIS 1A,Enr: 55 of 55,55,55,n,,[],BOELTER ,  02444  ,EC ENGR,F      ,10:00:00,10:50:00,80,1/3/2018 12:00:00 AM
MECH&AE 101     ,2014-11-11T10:00:00,2014-11-11T11:50:00,LEC 1,Enr: 75 of 75,75,75,n,,[],BOELTER ,  02444  ,MECH&AE,TR     ,10:00:00,11:50:00,80,1/3/2018 12:00:00 AM
MECH&AE 101     ,2014-11-13T10:00:00,2014-11-13T11:50:00,LEC 1,Enr: 75 of 75,75,75,n,,[],BOELTER ,  02444  ,MECH&AE,TR     ,10:00:00,11:50:00,80,1/3/2018 12:00:00 AM
C&EE    180     ,2014-11-10T12:00:00,2014-11-10T13:50:00,LEC 1,Enr: 61 of 61,61,61,n,,[],BOELTER ,  02444  ,C&EE   ,MW     ,12:00:00,13:50:00,80,1/3/2018 12:00:00 AM
C&EE    180     ,2014-11-12T12:00:00,2014-11-12T13:50:00,LEC 1,Enr: 61 of 61,61,61,n,,[],BOELTER ,  02444  ,C&EE   ,MW     ,12:00:00,13:50:00,80,1/3/2018 12:00:00 AM
EC ENGR 121B    ,2014-11-11T12:00:00,2014-11-11T13:50:00,LEC 1,Enr: 47 of 54,47,54,n,,[],BOELTER ,  02444  ,EC ENGR,TR     ,12:00:00,13:50:00,80,1/3/2018 12:00:00 AM
EC ENGR 121B    ,2014-11-13T12:00:00,2014-11-13T13:50:00,LEC 1,Enr: 47 of 54,47,54,n,,[],BOELTER ,  02444  ,EC ENGR,TR     ,12:00:00,13:50:00,80,1/3/2018 12:00:00 AM
MED     M160B   ,2014-11-14T12:00:00,2014-11-14T13:50:00,LEC 1,Enr: 32 of 40,0,0,y,Multiple-Listed Class,"['Medicine (MED) M160B - Health Outreach and Education for At-Risk Populations', 'Public Health (PUB HLT) M160B - Health Outreach and Education for At-Risk Populations']",BOELTER ,  02444  ,MED    ,F      ,12:00:00,13:50:00,80,1/3/2018 12:00:00 AM
CH ENGR 103     ,2014-11-10T14:00:00,2014-11-10T15:50:00,LEC 1,Enr: 56 of 90,56,90,n,,[],BOELTER ,  02444  ,CH ENGR,MW     ,14:00:00,15:50:00,80,1/3/2018 12:00:00 AM
CH ENGR 103     ,2014-11-12T14:00:00,2014-11-12T15:50:00,LEC 1,Enr: 56 of 90,56,90,n,,[],BOELTER ,  02444  ,CH ENGR,MW     ,14:00:00,15:50:00,80,1/3/2018 12:00:00 AM
COM SCI 259     ,2014-11-11T14:00:00,2014-11-11T15:50:00,LEC 1,Enr: 60 of 60,60,60,n,,[],BOELTER ,  02444  ,COM SCI,TR     ,14:00:00,15:50:00,80,1/3/2018 12:00:00 AM
COM SCI 259     ,2014-11-13T14:00:00,2014-11-13T15:50:00,LEC 1,Enr: 60 of 60,60,60,n,,[],BOELTER ,  02444  ,COM SCI,TR     ,14:00:00,15:50:00,80,1/3/2018 12:00:00 AM
COM SCI 267A    ,2014-11-14T14:00:00,2014-11-14T15:50:00,DIS 1A,Enr: 62 of 60,62,60,n,,[],BOELTER ,  02444  ,COM SCI,F      ,14:00:00,15:50:00,80,1/3/2018 12:00:00 AM
CH ENGR 101C    ,2014-11-11T16:00:00,2014-11-11T17:50:00,LEC 1,Enr: 74 of 90,74,90,n,,[],BOELTER ,  02444  ,CH ENGR,TR     ,16:00:00,17:50:00,80,1/3/2018 12:00:00 AM
CH ENGR 101C    ,2014-11-13T16:00:00,2014-11-13T17:50:00,LEC 1,Enr: 74 of 90,74,90,n,,[],BOELTER ,  02444  ,CH ENGR,TR     ,16:00:00,17:50:00,80,1/3/2018 12:00:00 AM
COM SCI 33      ,2014-11-14T16:00:00,2014-11-14T17:50:00,DIS 1G,Enr: 50 of 50,50,50,n,,[],BOELTER ,  02444  ,COM SCI,F      ,16:00:00,17:50:00,80,1/3/2018 12:00:00 AM
COM SCI 269     ,2014-11-10T16:00:00,2014-11-10T17:50:00,SEM 5,Enr: 50 of 50,50,50,n,,[],BOELTER ,  02444  ,COM SCI,MW     ,16:00:00,17:50:00,80,1/3/2018 12:00:00 AM
COM SCI 269     ,2014-11-12T16:00:00,2014-11-12T17:50:00,SEM 5,Enr: 50 of 50,50,50,n,,[],BOELTER ,  02444  ,COM SCI,MW     ,16:00:00,17:50:00,80,1/3/2018 12:00:00 AM
POL SCI 147A    ,2014-11-13T18:00:00,2014-11-13T18:50:00,DIS 1C,Enr: 14 of 14,14,14,n,,[],BOELTER ,  02444  ,POL SCI,R      ,18:00:00,18:50:00,80,1/3/2018 12:00:00 AM
BIOENGR M225    ,2014-11-11T08:00:00,2014-11-11T09:50:00,LEC 1,Enr: 5 of 15,5,5,y,Multiple-Listed Class,"['Bioengineering (BIOENGR) M225 - Bioseparations and Bioprocess Engineering', 'Chemical Engineering (CH ENGR) CM225 - Bioseparations and Bioprocess Engineering']",BOELTER ,  02760  ,BIOENGR,TR     ,08:00:00,09:50:00,72,10/1/2020 12:00:00 AM
BIOENGR M225    ,2014-11-13T08:00:00,2014-11-13T09:50:00,LEC 1,Enr: 5 of 15,5,5,y,Multiple-Listed Class,"['Bioengineering (BIOENGR) M225 - Bioseparations and Bioprocess Engineering', 'Chemical Engineering (CH ENGR) CM225 - Bioseparations and Bioprocess Engineering']",BOELTER ,  02760  ,BIOENGR,TR     ,08:00:00,09:50:00,72,10/1/2020 12:00:00 AM
EC ENGR 239AS   ,2014-11-14T09:00:00,2014-11-14T09:50:00,DIS 1A,Enr: 60 of 60,60,60,n,,[],BOELTER ,  02760  ,EC ENGR,F      ,09:00:00,09:50:00,72,10/1/2020 12:00:00 AM
MAT SCI 201     ,2014-11-10T09:00:00,2014-11-10T09:50:00,DIS 1A,Enr: 25 of 45,25,45,n,,[],BOELTER ,  02760  ,MAT SCI,M      ,09:00:00,09:50:00,72,10/1/2020 12:00:00 AM
COM SCI 35L     ,2014-11-14T10:00:00,2014-11-14T11:50:00,DIS 1B,Enr: 23 of 50,23,50,n,,[],BOELTER ,  02760  ,COM SCI,F      ,10:00:00,11:50:00,72,10/1/2020 12:00:00 AM
MAT SCI 104     ,2014-11-10T10:00:00,2014-11-10T11:50:00,LEC 1,Enr: 60 of 72,60,72,n,,[],BOELTER ,  02760  ,MAT SCI,MW     ,10:00:00,11:50:00,72,10/1/2020 12:00:00 AM
MAT SCI 104     ,2014-11-12T10:00:00,2014-11-12T11:50:00,LEC 1,Enr: 60 of 72,60,72,n,,[],BOELTER ,  02760  ,MAT SCI,MW     ,10:00:00,11:50:00,72,10/1/2020 12:00:00 AM
MECH&AE 150B    ,2014-11-11T10:00:00,2014-11-11T11:50:00,LEC 1,Enr: 63 of 70,63,70,n,,[],BOELTER ,  02760  ,MECH&AE,TR     ,10:00:00,11:50:00,72,10/1/2020 12:00:00 AM
MECH&AE 150B    ,2014-11-13T10:00:00,2014-11-13T11:50:00,LEC 1,Enr: 63 of 70,63,70,n,,[],BOELTER ,  02760  ,MECH&AE,TR     ,10:00:00,11:50:00,72,10/1/2020 12:00:00 AM
C&EE    M165    ,2014-11-10T12:00:00,2014-11-10T13:50:00,LEC 1,Enr: 54 of 70,54,70,y,Multiple-Listed Class,"['Civil and Environmental Engineering (C&EE) M165 - Environmental Nanotechnology: Implications and Applications', 'Engineering (ENGR) M103 - Environmental Nanotechnology: Implications and Applications']",BOELTER ,  02760  ,C&EE   ,MW     ,12:00:00,13:50:00,72,10/1/2020 12:00:00 AM
C&EE    M165    ,2014-11-12T12:00:00,2014-11-12T13:50:00,LEC 1,Enr: 54 of 70,54,70,y,Multiple-Listed Class,"['Civil and Environmental Engineering (C&EE) M165 - Environmental Nanotechnology: Implications and Applications', 'Engineering (ENGR) M103 - Environmental Nanotechnology: Implications and Applications']",BOELTER ,  02760  ,C&EE   ,MW     ,12:00:00,13:50:00,72,10/1/2020 12:00:00 AM
C&EE    M165    ,2014-11-14T12:00:00,2014-11-14T13:50:00,DIS 1A,Enr: 54 of 70,54,70,y,Multiple-Listed Class,"['Civil and Environmental Engineering (C&EE) M165 - Environmental Nanotechnology: Implications and Applications', 'Engineering (ENGR) M103 - Environmental Nanotechnology: Implications and Applications']",BOELTER ,  02760  ,C&EE   ,F      ,12:00:00,13:50:00,72,10/1/2020 12:00:00 AM
MCD BIO 187AL   ,2014-11-11T12:30:00,2014-11-11T13:45:00,LEC 1,Enr: 58 of 0,58,0,n,,[],BOELTER ,  02760  ,MCD BIO,TR     ,12:30:00,13:45:00,72,10/1/2020 12:00:00 AM
MCD BIO 187AL   ,2014-11-13T12:30:00,2014-11-13T13:45:00,LEC 1,Enr: 58 of 0,58,0,n,,[],BOELTER ,  02760  ,MCD BIO,TR     ,12:30:00,13:45:00,72,10/1/2020 12:00:00 AM
COM SCI 267A    ,2014-11-11T14:00:00,2014-11-11T15:50:00,LEC 1,Enr: 62 of 60,62,60,n,,[],BOELTER ,  02760  ,COM SCI,TR     ,14:00:00,15:50:00,72,10/1/2020 12:00:00 AM
COM SCI 267A    ,2014-11-13T14:00:00,2014-11-13T15:50:00,LEC 1,Enr: 62 of 60,62,60,n,,[],BOELTER ,  02760  ,COM SCI,TR     ,14:00:00,15:50:00,72,10/1/2020 12:00:00 AM
MECH&AE C163C   ,2014-11-10T14:00:00,2014-11-10T15:50:00,LEC 1,Enr: 53 of 60,2,10,n,,[],BOELTER ,  02760  ,MECH&AE,MW     ,14:00:00,15:50:00,72,10/1/2020 12:00:00 AM
MECH&AE C163C   ,2014-11-12T14:00:00,2014-11-12T15:50:00,LEC 1,Enr: 53 of 60,2,10,n,,[],BOELTER ,  02760  ,MECH&AE,MW     ,14:00:00,15:50:00,72,10/1/2020 12:00:00 AM
MECH&AE C163C   ,2014-11-14T14:00:00,2014-11-14T15:50:00,DIS 1A,Enr: 53 of 60,2,10,n,,[],BOELTER ,  02760  ,MECH&AE,F      ,14:00:00,15:50:00,72,10/1/2020 12:00:00 AM
C&EE    241     ,2014-11-10T16:00:00,2014-11-10T17:50:00,LEC 1,Enr: 43 of 40,43,40,n,,[],BOELTER ,  02760  ,C&EE   ,MW     ,16:00:00,17:50:00,72,10/1/2020 12:00:00 AM
C&EE    241     ,2014-11-12T16:00:00,2014-11-12T17:50:00,LEC 1,Enr: 43 of 40,43,40,n,,[],BOELTER ,  02760  ,C&EE   ,MW     ,16:00:00,17:50:00,72,10/1/2020 12:00:00 AM
COM SCI 33      ,2014-11-14T16:00:00,2014-11-14T17:50:00,DIS 1H,Enr: 50 of 50,50,50,n,,[],BOELTER ,  02760  ,COM SCI,F      ,16:00:00,17:50:00,72,10/1/2020 12:00:00 AM
MECH&AE 82      ,2014-11-11T16:00:00,2014-11-11T17:50:00,LEC 1,Enr: 59 of 72,59,72,n,,[],BOELTER ,  02760  ,MECH&AE,TR     ,16:00:00,17:50:00,72,10/1/2020 12:00:00 AM
MECH&AE 82      ,2014-11-13T16:00:00,2014-11-13T17:50:00,LEC 1,Enr: 59 of 72,59,72,n,,[],BOELTER ,  02760  ,MECH&AE,TR     ,16:00:00,17:50:00,72,10/1/2020 12:00:00 AM
MECH&AE 183A    ,2014-11-11T18:00:00,2014-11-11T19:15:00,LEC 1,Enr: 64 of 65,64,65,n,,[],BOELTER ,  02760  ,MECH&AE,TR     ,18:00:00,19:15:00,72,10/1/2020 12:00:00 AM
MECH&AE 183A    ,2014-11-13T18:00:00,2014-11-13T19:15:00,LEC 1,Enr: 64 of 65,64,65,n,,[],BOELTER ,  02760  ,MECH&AE,TR     ,18:00:00,19:15:00,72,10/1/2020 12:00:00 AM
ENGR    96A     ,2014-11-12T09:00:00,2014-11-12T11:50:00,LEC 3,Enr: 20 of 20,20,20,n,,[],BOELTER ,  02808  ,ENGR   ,W      ,09:00:00,11:50:00,20,9/26/1991 12:00:00 AM
ENGR    96A     ,2014-11-11T09:00:00,2014-11-11T11:50:00,LEC 4,Enr: 14 of 20,14,20,n,,[],BOELTER ,  02808  ,ENGR   ,T      ,09:00:00,11:50:00,20,9/26/1991 12:00:00 AM
ENGR    96A     ,2014-11-10T09:00:00,2014-11-10T11:50:00,LEC 5,Enr: 15 of 20,15,20,n,,[],BOELTER ,  02808  ,ENGR   ,M      ,09:00:00,11:50:00,20,9/26/1991 12:00:00 AM
ENGR    96R     ,2014-11-13T09:00:00,2014-11-13T11:50:00,LEC 1,Enr: 19 of 20,19,20,n,,[],BOELTER ,  02808  ,ENGR   ,R      ,09:00:00,11:50:00,20,9/26/1991 12:00:00 AM
BIOENGR 121     ,2014-11-10T12:00:00,2014-11-10T13:50:00,LEC 1,Enr: 25 of 25,25,25,n,,[],BOELTER ,  02808  ,BIOENGR,MW     ,12:00:00,13:50:00,20,9/26/1991 12:00:00 AM
BIOENGR 121     ,2014-11-12T12:00:00,2014-11-12T13:50:00,LEC 1,Enr: 25 of 25,25,25,n,,[],BOELTER ,  02808  ,BIOENGR,MW     ,12:00:00,13:50:00,20,9/26/1991 12:00:00 AM
ENGR    96A     ,2014-11-11T12:00:00,2014-11-11T14:50:00,LEC 1,Enr: 19 of 20,19,20,n,,[],BOELTER ,  02808  ,ENGR   ,T      ,12:00:00,14:50:00,20,9/26/1991 12:00:00 AM
ENGR    96A     ,2014-11-14T12:00:00,2014-11-14T14:50:00,LEC 2,Enr: 5 of 0,5,0,n,,[],BOELTER ,  02808  ,ENGR   ,F      ,12:00:00,14:50:00,20,9/26/1991 12:00:00 AM
ENGR    96E     ,2014-11-13T12:00:00,2014-11-13T14:50:00,LEC 1,Enr: 13 of 20,13,20,n,,[],BOELTER ,  02808  ,ENGR   ,R      ,12:00:00,14:50:00,20,9/26/1991 12:00:00 AM
ENGR    96A     ,2014-11-12T15:00:00,2014-11-12T17:50:00,LEC 6,Enr: 14 of 20,14,20,n,,[],BOELTER ,  02808  ,ENGR   ,W      ,15:00:00,17:50:00,20,9/26/1991 12:00:00 AM
ENGR    96G     ,2014-11-11T15:00:00,2014-11-11T17:50:00,LEC 1,Enr: 20 of 20,20,20,n,,[],BOELTER ,  02808  ,ENGR   ,T      ,15:00:00,17:50:00,20,9/26/1991 12:00:00 AM
ENGR    183EW   ,2014-11-10T08:00:00,2014-11-10T09:50:00,LEC 1,Enr: 107 of 0,107,0,n,,[],BOELTER ,  03400  ,ENGR   ,MW     ,08:00:00,09:50:00,174,9/28/2020 12:00:00 AM
ENGR    183EW   ,2014-11-12T08:00:00,2014-11-12T09:50:00,LEC 1,Enr: 107 of 0,107,0,n,,[],BOELTER ,  03400  ,ENGR   ,MW     ,08:00:00,09:50:00,174,9/28/2020 12:00:00 AM
ENGR    188EW   ,2014-11-11T08:00:00,2014-11-11T09:50:00,LEC 1,Enr: 110 of 0,110,0,n,,[],BOELTER ,  03400  ,ENGR   ,TR     ,08:00:00,09:50:00,174,9/28/2020 12:00:00 AM
